CbTagName;date;ed
CB Second Floor;01/04/2017;51
CB Second Floor;02/04/2017;50
CB Second Floor;03/04/2017;70
CB Second Floor;04/04/2017;69
CB Second Floor;05/04/2017;62
CB Second Floor;06/04/2017;64
CB Second Floor;07/04/2017;63
CB Second Floor;08/04/2017;54
CB Second Floor;09/04/2017;43
CB Second Floor;10/04/2017;60
CB Second Floor;11/04/2017;60
CB Second Floor;12/04/2017;57
CB Second Floor;13/04/2017;57
CB Second Floor;14/04/2017;55
CB Second Floor;15/04/2017;38
CB Second Floor;16/04/2017;45
CB Second Floor;17/04/2017;48
CB Second Floor;18/04/2017;69
CB Second Floor;19/04/2017;81
CB Second Floor;20/04/2017;80
CB Second Floor;21/04/2017;78
CB Second Floor;22/04/2017;59
CB Second Floor;23/04/2017;46
CB Second Floor;24/04/2017;46
CB Second Floor;25/04/2017;38
CB Second Floor;26/04/2017;58
CB Second Floor;27/04/2017;55
CB Second Floor;28/04/2017;64
CB Second Floor;29/04/2017;57
CB Second Floor;30/04/2017;54
CB Second Floor;01/05/2017;48
CB Second Floor;02/05/2017;70
CB Second Floor;03/05/2017;66
CB Second Floor;04/05/2017;63
CB Second Floor;05/05/2017;61
CB Second Floor;06/05/2017;42
CB Second Floor;07/05/2017;37
CB Second Floor;08/05/2017;56
CB Second Floor;09/05/2017;56
CB Second Floor;10/05/2017;59
CB Second Floor;11/05/2017;55
CB Second Floor;12/05/2017;51
CB Second Floor;13/05/2017;35
CB Second Floor;15/05/2017;61
CB Second Floor;16/05/2017;55
CB Second Floor;17/05/2017;54
CB Second Floor;18/05/2017;56
CB Second Floor;19/05/2017;55
CB Second Floor;20/05/2017;43
CB Second Floor;21/05/2017;53
CB Second Floor;22/05/2017;67
CB Second Floor;23/05/2017;61
CB Second Floor;24/05/2017;59
CB Second Floor;25/05/2017;56
CB Second Floor;26/05/2017;57
CB Second Floor;27/05/2017;44
CB Second Floor;28/05/2017;40
CB Second Floor;29/05/2017;55
CB Second Floor;30/05/2017;56
CB Second Floor;31/05/2017;62
CB Second Floor;01/06/2017;60
CB Second Floor;02/06/2017;44
CB Second Floor;03/06/2017;43
CB Second Floor;04/06/2017;38
CB Second Floor;05/06/2017;60
CB Second Floor;06/06/2017;55
CB Second Floor;07/06/2017;62
CB Second Floor;08/06/2017;63
CB Second Floor;09/06/2017;54
CB Second Floor;10/06/2017;46
CB Second Floor;11/06/2017;40
CB Second Floor;12/06/2017;59
CB Second Floor;13/06/2017;52
CB Second Floor;14/06/2017;55
CB Second Floor;15/06/2017;54
CB Second Floor;16/06/2017;53
CB Second Floor;17/06/2017;40
CB Second Floor;18/06/2017;39
CB Second Floor;19/06/2017;54
CB Second Floor;20/06/2017;54
CB Second Floor;21/06/2017;53
CB Second Floor;22/06/2017;53
CB Second Floor;23/06/2017;53
CB Second Floor;24/06/2017;40
CB Second Floor;25/06/2017;39
CB Second Floor;26/06/2017;53
CB Second Floor;27/06/2017;55
CB Second Floor;28/06/2017;59
CB Second Floor;29/06/2017;56
CB Second Floor;30/06/2017;54
CB Second Floor;01/07/2017;41
CB Second Floor;02/07/2017;39
CB Second Floor;03/07/2017;54
CB Second Floor;04/07/2017;55
CB Second Floor;05/07/2017;55
CB Second Floor;06/07/2017;55
CB Second Floor;07/07/2017;53
CB Second Floor;08/07/2017;41
CB Second Floor;09/07/2017;39
CB Second Floor;10/07/2017;58
CB Second Floor;11/07/2017;60
CB Second Floor;12/07/2017;54
CB Second Floor;13/07/2017;54
CB Second Floor;14/07/2017;52
CB Second Floor;15/07/2017;39
CB Second Floor;16/07/2017;39
CB Second Floor;17/07/2017;53
CB Second Floor;18/07/2017;53
CB Second Floor;19/07/2017;55
CB Second Floor;20/07/2017;54
CB Second Floor;21/07/2017;54
CB Second Floor;22/07/2017;41
CB Second Floor;23/07/2017;39
CB Second Floor;24/07/2017;55
CB Second Floor;25/07/2017;54
CB Second Floor;26/07/2017;55
CB Second Floor;27/07/2017;53
CB Second Floor;28/07/2017;54
CB Second Floor;29/07/2017;40
CB Second Floor;30/07/2017;40
CB Second Floor;31/07/2017;53
CB Second Floor;01/08/2017;53
CB Second Floor;02/08/2017;53
CB Second Floor;03/08/2017;54
CB Second Floor;04/08/2017;52
CB Second Floor;05/08/2017;37
CB Second Floor;06/08/2017;38
CB Second Floor;07/08/2017;51
CB Second Floor;08/08/2017;51
CB Second Floor;09/08/2017;52
CB Second Floor;10/08/2017;50
CB Second Floor;11/08/2017;49
CB Second Floor;12/08/2017;39
CB Second Floor;13/08/2017;38
CB Second Floor;14/08/2017;40
CB Second Floor;15/08/2017;39
CB Second Floor;16/08/2017;41
CB Second Floor;17/08/2017;41
CB Second Floor;18/08/2017;40
CB Second Floor;21/08/2017;53
CB Second Floor;22/08/2017;49
CB Second Floor;23/08/2017;49
CB Second Floor;24/08/2017;50
CB Second Floor;25/08/2017;48
CB Second Floor;26/08/2017;39
CB Second Floor;27/08/2017;39
CB Second Floor;28/08/2017;54
CB Second Floor;29/08/2017;54
CB Second Floor;30/08/2017;54
CB Second Floor;31/08/2017;56
CB Second Floor;01/09/2017;52
CB Second Floor;02/09/2017;41
CB Second Floor;03/09/2017;38
CB Second Floor;04/09/2017;55
CB Second Floor;05/09/2017;55
CB Second Floor;06/09/2017;54
CB Second Floor;07/09/2017;55
CB Second Floor;08/09/2017;53
CB Second Floor;09/09/2017;41
CB Second Floor;10/09/2017;40
CB Second Floor;11/09/2017;55
CB Second Floor;12/09/2017;55
CB Second Floor;13/09/2017;55
CB Second Floor;14/09/2017;59
CB Second Floor;15/09/2017;56
CB Second Floor;16/09/2017;41
CB Second Floor;17/09/2017;37
CB Second Floor;18/09/2017;59
CB Second Floor;19/09/2017;51
CB Second Floor;20/09/2017;53
CB Second Floor;21/09/2017;53
CB Second Floor;22/09/2017;52
CB Second Floor;23/09/2017;38
CB Second Floor;24/09/2017;35
CB Second Floor;25/09/2017;59
CB Second Floor;26/09/2017;52
CB Second Floor;27/09/2017;53
CB Second Floor;28/09/2017;52
CB Second Floor;29/09/2017;51
CB Second Floor;30/09/2017;37
CB Second Floor;01/10/2017;35
CB Second Floor;02/10/2017;52
CB Second Floor;03/10/2017;54
CB Second Floor;04/10/2017;53
CB Second Floor;05/10/2017;52
CB Second Floor;06/10/2017;51
CB Second Floor;07/10/2017;36
CB Second Floor;08/10/2017;34
CB Second Floor;09/10/2017;51
CB Second Floor;10/10/2017;53
CB Second Floor;11/10/2017;55
CB Second Floor;12/10/2017;59
CB Second Floor;13/10/2017;53
CB Second Floor;14/10/2017;37
CB Second Floor;15/10/2017;35
CB Second Floor;16/10/2017;53
CB Second Floor;17/10/2017;53
CB Second Floor;18/10/2017;54
CB Second Floor;19/10/2017;54
CB Second Floor;20/10/2017;54
CB Second Floor;21/10/2017;39
CB Second Floor;22/10/2017;35
CB Second Floor;23/10/2017;53
CB Second Floor;24/10/2017;55
CB Second Floor;25/10/2017;53
CB Second Floor;26/10/2017;53
CB Second Floor;27/10/2017;55
CB Second Floor;28/10/2017;39
CB Second Floor;29/10/2017;37
CB Second Floor;30/10/2017;55
CB Second Floor;31/10/2017;54
CB Second Floor;01/11/2017;36
CB Second Floor;02/11/2017;56
CB Second Floor;03/11/2017;54
CB Second Floor;04/11/2017;38
CB Second Floor;05/11/2017;37
CB Second Floor;06/11/2017;58
CB Second Floor;07/11/2017;59
CB Second Floor;08/11/2017;63
CB Second Floor;09/11/2017;67
CB Second Floor;10/11/2017;67
CB Second Floor;11/11/2017;51
CB Second Floor;12/11/2017;50
CB Second Floor;13/11/2017;72
CB Second Floor;14/11/2017;86
CB Second Floor;15/11/2017;80
CB Second Floor;16/11/2017;77
CB Second Floor;17/11/2017;75
CB Second Floor;18/11/2017;63
CB Second Floor;19/11/2017;63
CB Second Floor;20/11/2017;79
CB Second Floor;21/11/2017;76
CB Second Floor;22/11/2017;74
CB Second Floor;23/11/2017;69
CB Second Floor;24/11/2017;68
CB Second Floor;25/11/2017;50
CB Second Floor;26/11/2017;57
CB Second Floor;27/11/2017;82
CB Second Floor;28/11/2017;83
CB Second Floor;29/11/2017;84
CB Second Floor;30/11/2017;79
CB Second Floor;01/12/2017;79
CB Second Floor;02/12/2017;62
CB Second Floor;03/12/2017;61
CB Second Floor;04/12/2017;64
CB Second Floor;05/12/2017;55
CB Second Floor;06/12/2017;57
CB Second Floor;07/12/2017;58
CB Second Floor;08/12/2017;35
CB Second Floor;09/12/2017;36
CB Second Floor;10/12/2017;43
CB Second Floor;11/12/2017;81
CB Second Floor;12/12/2017;65
CB Second Floor;13/12/2017;60
CB Second Floor;14/12/2017;68
CB Second Floor;15/12/2017;58
CB Second Floor;16/12/2017;40
CB Second Floor;17/12/2017;36
CB Second Floor;18/12/2017;76
CB Second Floor;19/12/2017;59
CB Second Floor;20/12/2017;60
CB Second Floor;21/12/2017;61
CB Second Floor;22/12/2017;56
CB Second Floor;23/12/2017;38
CB Second Floor;24/12/2017;41
CB Second Floor;25/12/2017;41
CB Second Floor;26/12/2017;44
CB Second Floor;27/12/2017;46
CB Second Floor;28/12/2017;57
CB Second Floor;29/12/2017;46
CB Second Floor;30/12/2017;40
CB Second Floor;31/12/2017;42
CB Second Floor;01/01/2018;53
CB Second Floor;02/01/2018;56
CB Second Floor;03/01/2018;58
CB Second Floor;04/01/2018;60
CB Second Floor;05/01/2018;62
CB Second Floor;06/01/2018;42
CB Second Floor;07/01/2018;41
CB Second Floor;08/01/2018;60
CB Second Floor;09/01/2018;60
CB Second Floor;10/01/2018;61
CB Second Floor;11/01/2018;70
CB Second Floor;12/01/2018;72
CB Second Floor;13/01/2018;45
CB Second Floor;14/01/2018;52
CB Second Floor;15/01/2018;72
CB Second Floor;16/01/2018;79
CB Second Floor;17/01/2018;84
CB Second Floor;18/01/2018;80
CB Second Floor;19/01/2018;77
CB Second Floor;20/01/2018;61
CB Second Floor;22/01/2018;90
CB Second Floor;23/01/2018;78
CB Second Floor;24/01/2018;81
CB Second Floor;25/01/2018;72
CB Second Floor;26/01/2018;72
CB Second Floor;27/01/2018;50
CB Second Floor;28/01/2018;47
CB Second Floor;29/01/2018;69
CB Second Floor;30/01/2018;69
CB Second Floor;31/01/2018;67
CB Second Floor;01/02/2018;69
CB Second Floor;02/02/2018;72
CB Second Floor;03/02/2018;59
CB Second Floor;04/02/2018;59
CB Second Floor;05/02/2018;84
CB Second Floor;06/02/2018;80
CB Second Floor;07/02/2018;78
CB Second Floor;08/02/2018;75
CB Second Floor;09/02/2018;71
CB Second Floor;10/02/2018;57
CB Second Floor;11/02/2018;56
CB Second Floor;12/02/2018;69
CB Second Floor;13/02/2018;83
CB Second Floor;14/02/2018;85
CB Second Floor;15/02/2018;84
CB Second Floor;16/02/2018;82
CB Second Floor;17/02/2018;61
CB Second Floor;18/02/2018;57
CB Second Floor;19/02/2018;87
CB Second Floor;20/02/2018;80
CB Second Floor;21/02/2018;82
CB Second Floor;22/02/2018;83
CB Second Floor;23/02/2018;88
CB Second Floor;24/02/2018;58
CB Second Floor;25/02/2018;75
CB Second Floor;26/02/2018;89
CB Second Floor;27/02/2018;93
CB Second Floor;28/02/2018;78
CB Second Floor;01/03/2018;100
CB Second Floor;02/03/2018;91
CB Second Floor;03/03/2018;75
CB Second Floor;04/03/2018;69
CB Second Floor;05/03/2018;73
CB Second Floor;06/03/2018;74
CB Second Floor;07/03/2018;75
CB Second Floor;08/03/2018;77
CB Second Floor;09/03/2018;68
CB Second Floor;10/03/2018;49
CB Second Floor;11/03/2018;45
CB Second Floor;12/03/2018;65
CB Second Floor;13/03/2018;64
CB Second Floor;14/03/2018;69
CB Second Floor;15/03/2018;69
CB Second Floor;16/03/2018;63
CB Second Floor;17/03/2018;48
CB Second Floor;18/03/2018;48
CB Second Floor;19/03/2018;71
CB Second Floor;20/03/2018;73
CB Second Floor;21/03/2018;81
CB Second Floor;22/03/2018;75
CB Second Floor;23/03/2018;72
CB Second Floor;24/03/2018;57
CB Second Floor;25/03/2018;54
CB Second Floor;26/03/2018;70
CB Second Floor;27/03/2018;66
CB Second Floor;28/03/2018;66
CB Second Floor;29/03/2018;63
CB Second Floor;30/03/2018;57
CB Second Floor;31/03/2018;44
CB Second Floor;01/04/2018;50
CB Second Floor;02/04/2018;51
CB Second Floor;03/04/2018;64
CB Second Floor;04/04/2018;62
CB Second Floor;05/04/2018;59
CB Second Floor;06/04/2018;60
CB Second Floor;07/04/2018;44
CB Second Floor;08/04/2018;44
CB Second Floor;09/04/2018;60
CB Second Floor;10/04/2018;62
CB Second Floor;11/04/2018;65
CB Second Floor;12/04/2018;63
CB Second Floor;13/04/2018;63
CB Second Floor;14/04/2018;50
CB Second Floor;15/04/2018;45
CB Second Floor;16/04/2018;59
CB Second Floor;17/04/2018;56
CB Second Floor;18/04/2018;55
CB Second Floor;19/04/2018;61
CB Second Floor;20/04/2018;61
CB Second Floor;21/04/2018;46
CB Second Floor;22/04/2018;45
CB Second Floor;23/04/2018;55
CB Second Floor;24/04/2018;53
CB Second Floor;25/04/2018;39
CB Second Floor;26/04/2018;51
CB Second Floor;27/04/2018;50
CB Second Floor;28/04/2018;37
CB Second Floor;29/04/2018;37
CB Second Floor;30/04/2018;38
CB Second Floor;01/05/2018;37
CB Second Floor;02/05/2018;54
CB Second Floor;03/05/2018;51
CB Second Floor;04/05/2018;49
CB Second Floor;05/05/2018;37
CB Second Floor;06/05/2018;37
CB Second Floor;07/05/2018;51
CB Second Floor;08/05/2018;50
CB Second Floor;09/05/2018;52
CB Second Floor;10/05/2018;52
CB Second Floor;11/05/2018;51
CB Second Floor;12/05/2018;38
CB Second Floor;13/05/2018;36
CB Second Floor;14/05/2018;53
CB Second Floor;15/05/2018;55
CB Second Floor;16/05/2018;52
CB Second Floor;17/05/2018;53
CB Second Floor;18/05/2018;49
CB Second Floor;19/05/2018;36
CB Second Floor;20/05/2018;34
CB Second Floor;22/05/2018;59
CB Second Floor;23/05/2018;50
CB Second Floor;24/05/2018;50
CB Second Floor;25/05/2018;51
CB Second Floor;26/05/2018;37
CB Second Floor;27/05/2018;36
CB Second Floor;28/05/2018;51
CB Second Floor;29/05/2018;51
CB Second Floor;30/05/2018;50
CB Second Floor;31/05/2018;51
CB Second Floor;01/06/2018;49
CB Second Floor;02/06/2018;35
CB Second Floor;03/06/2018;35
CB Second Floor;04/06/2018;53
CB Second Floor;05/06/2018;51
CB Second Floor;06/06/2018;52
CB Second Floor;07/06/2018;52
CB Second Floor;08/06/2018;52
CB Second Floor;09/06/2018;37
CB Second Floor;10/06/2018;36
CB Second Floor;11/06/2018;51
CB Second Floor;12/06/2018;53
CB Second Floor;13/06/2018;52
CB Second Floor;14/06/2018;53
CB Second Floor;15/06/2018;51
CB Second Floor;16/06/2018;39
CB Second Floor;17/06/2018;36
CB Second Floor;18/06/2018;52
CB Second Floor;19/06/2018;53
CB Second Floor;20/06/2018;52
CB Second Floor;21/06/2018;54
CB Second Floor;22/06/2018;52
CB Second Floor;23/06/2018;36
CB Second Floor;24/06/2018;37
CB Second Floor;25/06/2018;51
CB Second Floor;26/06/2018;52
CB Second Floor;27/06/2018;51
CB Second Floor;28/06/2018;51
CB Second Floor;29/06/2018;51
CB Second Floor;30/06/2018;37
CB Second Floor;01/07/2018;35
CB Second Floor;02/07/2018;52
CB Second Floor;03/07/2018;54
CB Second Floor;04/07/2018;54
CB Second Floor;05/07/2018;53
CB Second Floor;06/07/2018;52
CB Second Floor;07/07/2018;40
CB Second Floor;08/07/2018;39
CB Second Floor;09/07/2018;53
CB Second Floor;10/07/2018;54
CB Second Floor;11/07/2018;54
CB Second Floor;12/07/2018;53
CB Second Floor;13/07/2018;52
CB Second Floor;14/07/2018;39
CB Second Floor;15/07/2018;38
CB Second Floor;16/07/2018;55
CB Second Floor;17/07/2018;52
CB Second Floor;18/07/2018;53
CB Second Floor;19/07/2018;52
CB Second Floor;20/07/2018;52
CB Second Floor;21/07/2018;40
CB Second Floor;22/07/2018;39
CB Second Floor;23/07/2018;53
CB Second Floor;24/07/2018;48
CB Second Floor;25/07/2018;53
CB Second Floor;26/07/2018;52
CB Second Floor;27/07/2018;51
CB Second Floor;28/07/2018;40
CB Second Floor;29/07/2018;39
CB Second Floor;30/07/2018;53
CB Second Floor;31/07/2018;52
CB Second Floor;01/08/2018;56
CB Second Floor;02/08/2018;59
CB Second Floor;03/08/2018;51
CB Second Floor;04/08/2018;40
CB Second Floor;06/08/2018;54
CB Second Floor;07/08/2018;51
CB Second Floor;08/08/2018;51
CB Second Floor;09/08/2018;49
CB Second Floor;10/08/2018;48
CB Second Floor;11/08/2018;38
CB Second Floor;12/08/2018;38
CB Second Floor;13/08/2018;41
CB Second Floor;14/08/2018;41
CB Second Floor;20/08/2018;52
CB Second Floor;21/08/2018;48
CB Second Floor;22/08/2018;47
CB Second Floor;23/08/2018;47
CB Second Floor;24/08/2018;48
CB Second Floor;25/08/2018;36
CB Second Floor;26/08/2018;38
CB Second Floor;27/08/2018;52
CB Second Floor;28/08/2018;52
CB Second Floor;29/08/2018;51
CB Second Floor;30/08/2018;51
CB Second Floor;31/08/2018;56
CB Second Floor;01/09/2018;39
CB Second Floor;02/09/2018;38
CB Second Floor;03/09/2018;53
CB Second Floor;04/09/2018;51
CB Second Floor;05/09/2018;52
CB Second Floor;06/09/2018;52
CB Second Floor;07/09/2018;51
CB Second Floor;08/09/2018;38
CB Second Floor;09/09/2018;38
CB Second Floor;10/09/2018;54
CB Second Floor;11/09/2018;53
CB Second Floor;12/09/2018;54
CB Second Floor;13/09/2018;54
CB Second Floor;14/09/2018;51
CB Second Floor;15/09/2018;39
CB Second Floor;16/09/2018;37
CB Second Floor;17/09/2018;53
CB Second Floor;18/09/2018;54
CB Second Floor;19/09/2018;54
CB Second Floor;20/09/2018;54
CB Second Floor;21/09/2018;54
CB Second Floor;22/09/2018;39
CB Second Floor;23/09/2018;37
CB Second Floor;24/09/2018;55
CB Second Floor;25/09/2018;55
CB Second Floor;26/09/2018;55
CB Second Floor;27/09/2018;55
CB Second Floor;28/09/2018;53
CB Second Floor;29/09/2018;39
CB Second Floor;30/09/2018;37
CB Second Floor;01/10/2018;56
CB Second Floor;02/10/2018;52
CB Second Floor;03/10/2018;51
CB Second Floor;04/10/2018;53
CB Second Floor;05/10/2018;53
CB Second Floor;06/10/2018;36
CB Second Floor;07/10/2018;37
CB Second Floor;08/10/2018;52
CB Second Floor;09/10/2018;52
CB Second Floor;10/10/2018;53
CB Second Floor;11/10/2018;54
CB Second Floor;12/10/2018;51
CB Second Floor;13/10/2018;40
CB Second Floor;14/10/2018;38
CB Second Floor;15/10/2018;54
CB Second Floor;16/10/2018;53
CB Second Floor;17/10/2018;53
CB Second Floor;18/10/2018;53
CB Second Floor;19/10/2018;53
CB Second Floor;20/10/2018;38
CB Second Floor;21/10/2018;37
CB Second Floor;22/10/2018;66
CB Second Floor;23/10/2018;64
CB Second Floor;24/10/2018;70
CB Second Floor;25/10/2018;59
CB Second Floor;26/10/2018;55
CB Second Floor;27/10/2018;37
CB Second Floor;28/10/2018;35
CB Second Floor;29/10/2018;56
CB Second Floor;30/10/2018;65
CB Second Floor;31/10/2018;63
CB Second Floor;01/11/2018;37
CB Second Floor;02/11/2018;38
CB Second Floor;03/11/2018;36
CB Second Floor;04/11/2018;35
CB Second Floor;05/11/2018;56
CB Second Floor;06/11/2018;56
CB Second Floor;07/11/2018;56
CB Second Floor;08/11/2018;55
CB Second Floor;09/11/2018;56
CB Second Floor;10/11/2018;39
CB Second Floor;11/11/2018;37
CB Second Floor;12/11/2018;58
CB Second Floor;13/11/2018;58
CB Second Floor;14/11/2018;56
CB Second Floor;15/11/2018;58
CB Second Floor;16/11/2018;66
CB Second Floor;17/11/2018;53
CB Second Floor;18/11/2018;56
CB Second Floor;19/11/2018;79
CB Second Floor;20/11/2018;76
CB Second Floor;21/11/2018;76
CB Second Floor;22/11/2018;69
CB Second Floor;23/11/2018;66
CB Second Floor;24/11/2018;46
CB Second Floor;25/11/2018;46
CB Second Floor;26/11/2018;65
CB Second Floor;27/11/2018;69
CB Second Floor;28/11/2018;77
CB Second Floor;29/11/2018;74
CB Second Floor;30/11/2018;75
CB Second Floor;01/12/2018;60
CB Second Floor;02/12/2018;61
CB Second Floor;03/12/2018;75
CB Second Floor;04/12/2018;80
CB Second Floor;05/12/2018;78
CB Second Floor;06/12/2018;75
CB Second Floor;07/12/2018;75
CB Second Floor;08/12/2018;64
CB Second Floor;09/12/2018;66
CB Second Floor;10/12/2018;89
CB Second Floor;11/12/2018;90
CB Second Floor;12/12/2018;91
CB Second Floor;13/12/2018;92
CB Second Floor;14/12/2018;86
CB Second Floor;15/12/2018;52
CB Second Floor;16/12/2018;65
CB Second Floor;17/12/2018;86
CB Second Floor;18/12/2018;92
CB Second Floor;19/12/2018;90
CB Second Floor;20/12/2018;89
CB Second Floor;21/12/2018;66
CB Second Floor;22/12/2018;55
CB Second Floor;23/12/2018;59
CB Second Floor;24/12/2018;58
CB Second Floor;25/12/2018;64
CB Second Floor;26/12/2018;63
CB Second Floor;27/12/2018;66
CB Second Floor;28/12/2018;65
CB Second Floor;29/12/2018;62
CB Second Floor;30/12/2018;62
CB Second Floor;31/12/2018;63
CB Second Floor;01/01/2019;61
CB Second Floor;02/01/2019;74
CB Second Floor;03/01/2019;79
CB Second Floor;04/01/2019;78
CB Second Floor;05/01/2019;64
CB Second Floor;06/01/2019;62
CB Second Floor;07/01/2019;82
CB Second Floor;08/01/2019;81
CB Second Floor;09/01/2019;82
CB Second Floor;10/01/2019;84
CB Second Floor;11/01/2019;83
CB Second Floor;12/01/2019;51
CB Second Floor;13/01/2019;62
CB Second Floor;14/01/2019;88
CB Second Floor;15/01/2019;92
CB Second Floor;16/01/2019;87
CB Second Floor;17/01/2019;81
CB Second Floor;18/01/2019;80
CB Second Floor;19/01/2019;61
CB Second Floor;20/01/2019;64
CB Second Floor;21/01/2019;86
CB Second Floor;22/01/2019;88
CB Second Floor;23/01/2019;85
CB Second Floor;24/01/2019;84
CB Second Floor;25/01/2019;82
CB Second Floor;26/01/2019;61
CB Second Floor;27/01/2019;72
CB Second Floor;28/01/2019;83
CB Second Floor;29/01/2019;86
CB Second Floor;30/01/2019;87
CB Second Floor;31/01/2019;85
CB Second Floor;01/02/2019;97
CB Second Floor;02/02/2019;65
CB Second Floor;03/02/2019;55
CB Second Floor;04/02/2019;84
CB Second Floor;05/02/2019;90
CB Second Floor;06/02/2019;90
CB Second Floor;07/02/2019;90
CB Second Floor;08/02/2019;88
CB Second Floor;09/02/2019;70
CB Second Floor;10/02/2019;57
CB Second Floor;11/02/2019;91
CB Second Floor;12/02/2019;94
CB Second Floor;13/02/2019;90
CB Second Floor;14/02/2019;86
CB Second Floor;15/02/2019;81
CB Second Floor;16/02/2019;62
CB Second Floor;17/02/2019;62
CB Second Floor;18/02/2019;80
CB Second Floor;19/02/2019;83
CB Second Floor;20/02/2019;78
CB Second Floor;21/02/2019;81
CB Second Floor;22/02/2019;80
CB Second Floor;23/02/2019;66
CB Second Floor;24/02/2019;69
CB Second Floor;25/02/2019;83
CB Second Floor;26/02/2019;82
CB Second Floor;27/02/2019;81
CB Second Floor;28/02/2019;79
CB Second Floor;01/03/2019;72
CB Second Floor;02/03/2019;61
CB Second Floor;03/03/2019;61
CB Second Floor;04/03/2019;73
CB Second Floor;05/03/2019;80
CB Second Floor;06/03/2019;76
CB Second Floor;07/03/2019;69
CB Second Floor;08/03/2019;64
CB Second Floor;09/03/2019;52
CB Second Floor;10/03/2019;49
CB Second Floor;11/03/2019;74
CB Second Floor;12/03/2019;79
CB Second Floor;13/03/2019;78
CB Second Floor;14/03/2019;77
CB Second Floor;15/03/2019;72
CB Second Floor;16/03/2019;54
CB Second Floor;17/03/2019;48
CB Second Floor;18/03/2019;72
CB Second Floor;19/03/2019;74
CB Second Floor;20/03/2019;75
CB Second Floor;21/03/2019;78
CB Second Floor;22/03/2019;76
CB Second Floor;23/03/2019;57
CB Second Floor;24/03/2019;55
CB Second Floor;25/03/2019;70
CB Second Floor;26/03/2019;71
CB Second Floor;27/03/2019;70
CB Second Floor;28/03/2019;69
CB Second Floor;29/03/2019;68
CB Second Floor;30/03/2019;55
CB Second Floor;31/03/2019;55