CbTagName ;Date ;Label_Hour ;AvgP 
CB First Floor;01/02/2019;00;77
CB First Floor;01/02/2019;01;76
CB First Floor;01/02/2019;02;77
CB First Floor;01/02/2019;03;77
CB First Floor;01/02/2019;04;75
CB First Floor;01/02/2019;05;77
CB First Floor;01/02/2019;06;80
CB First Floor;01/02/2019;07;91
CB First Floor;01/02/2019;08;113
CB First Floor;01/02/2019;09;122
CB First Floor;01/02/2019;10;120
CB First Floor;01/02/2019;11;125
CB First Floor;01/02/2019;12;127
CB First Floor;01/02/2019;13;130
CB First Floor;01/02/2019;14;131
CB First Floor;01/02/2019;15;117
CB First Floor;01/02/2019;16;115
CB First Floor;01/02/2019;17;106
CB First Floor;01/02/2019;18;96
CB First Floor;01/02/2019;19;89
CB First Floor;01/02/2019;20;83
CB First Floor;01/02/2019;21;84
CB First Floor;01/02/2019;22;82
CB First Floor;01/02/2019;23;80
CB First Floor;02/02/2019;00;80
CB First Floor;02/02/2019;01;80
CB First Floor;02/02/2019;02;78
CB First Floor;02/02/2019;03;78
CB First Floor;02/02/2019;04;78
CB First Floor;02/02/2019;05;78
CB First Floor;02/02/2019;06;79
CB First Floor;02/02/2019;07;78
CB First Floor;02/02/2019;08;80
CB First Floor;02/02/2019;09;70
CB First Floor;02/02/2019;10;63
CB First Floor;02/02/2019;11;59
CB First Floor;02/02/2019;12;56
CB First Floor;02/02/2019;13;55
CB First Floor;02/02/2019;14;56
CB First Floor;02/02/2019;15;57
CB First Floor;02/02/2019;16;56
CB First Floor;02/02/2019;17;55
CB First Floor;02/02/2019;18;55
CB First Floor;02/02/2019;19;55
CB First Floor;02/02/2019;20;55
CB First Floor;02/02/2019;21;56
CB First Floor;02/02/2019;22;56
CB First Floor;02/02/2019;23;56
CB First Floor;03/02/2019;00;56
CB First Floor;03/02/2019;01;57
CB First Floor;03/02/2019;02;57
CB First Floor;03/02/2019;03;58
CB First Floor;03/02/2019;04;57
CB First Floor;03/02/2019;05;57
CB First Floor;03/02/2019;06;56
CB First Floor;03/02/2019;07;56
CB First Floor;03/02/2019;08;56
CB First Floor;03/02/2019;09;56
CB First Floor;03/02/2019;10;54
CB First Floor;03/02/2019;11;54
CB First Floor;03/02/2019;12;53
CB First Floor;03/02/2019;13;54
CB First Floor;03/02/2019;14;53
CB First Floor;03/02/2019;15;53
CB First Floor;03/02/2019;16;53
CB First Floor;03/02/2019;17;53
CB First Floor;03/02/2019;18;53
CB First Floor;03/02/2019;19;55
CB First Floor;03/02/2019;20;55
CB First Floor;03/02/2019;21;56
CB First Floor;03/02/2019;22;57
CB First Floor;04/02/2019;23;68
CB First Floor;04/02/2019;00;58
CB First Floor;04/02/2019;01;59
CB First Floor;04/02/2019;02;61
CB First Floor;04/02/2019;03;62
CB First Floor;04/02/2019;04;62
CB First Floor;04/02/2019;05;63
CB First Floor;04/02/2019;06;70
CB First Floor;04/02/2019;07;80
CB First Floor;04/02/2019;08;96
CB First Floor;04/02/2019;09;106
CB First Floor;04/02/2019;10;108
CB First Floor;04/02/2019;11;110
CB First Floor;04/02/2019;12;116
CB First Floor;04/02/2019;13;119
CB First Floor;04/02/2019;14;120
CB First Floor;04/02/2019;15;103
CB First Floor;04/02/2019;16;99
CB First Floor;04/02/2019;17;97
CB First Floor;04/02/2019;18;87
CB First Floor;04/02/2019;19;78
CB First Floor;04/02/2019;20;72
CB First Floor;04/02/2019;21;71
CB First Floor;04/02/2019;22;68
CB First Floor;05/02/2019;00;65
CB First Floor;05/02/2019;01;67
CB First Floor;05/02/2019;02;66
CB First Floor;05/02/2019;03;68
CB First Floor;05/02/2019;04;67
CB First Floor;05/02/2019;05;71
CB First Floor;05/02/2019;06;76
CB First Floor;05/02/2019;07;83
CB First Floor;05/02/2019;08;108
CB First Floor;05/02/2019;09;107
CB First Floor;05/02/2019;10;108
CB First Floor;05/02/2019;11;113
CB First Floor;05/02/2019;12;119
CB First Floor;05/02/2019;13;127
CB First Floor;05/02/2019;14;121
CB First Floor;05/02/2019;15;109
CB First Floor;05/02/2019;16;109
CB First Floor;05/02/2019;17;105
CB First Floor;05/02/2019;18;95
CB First Floor;05/02/2019;19;86
CB First Floor;05/02/2019;20;79
CB First Floor;05/02/2019;21;77
CB First Floor;05/02/2019;22;75
CB First Floor;05/02/2019;23;74
CB First Floor;06/02/2019;00;74
CB First Floor;06/02/2019;01;74
CB First Floor;06/02/2019;02;74
CB First Floor;06/02/2019;03;75
CB First Floor;06/02/2019;04;74
CB First Floor;06/02/2019;05;75
CB First Floor;06/02/2019;06;83
CB First Floor;06/02/2019;07;89
CB First Floor;06/02/2019;08;110
CB First Floor;06/02/2019;09;107
CB First Floor;06/02/2019;10;105
CB First Floor;06/02/2019;11;105
CB First Floor;06/02/2019;12;121
CB First Floor;06/02/2019;13;122
CB First Floor;06/02/2019;14;117
CB First Floor;06/02/2019;15;103
CB First Floor;06/02/2019;16;103
CB First Floor;06/02/2019;17;98
CB First Floor;06/02/2019;18;90
CB First Floor;06/02/2019;19;83
CB First Floor;06/02/2019;20;78
CB First Floor;06/02/2019;21;74
CB First Floor;06/02/2019;22;73
CB First Floor;06/02/2019;23;70
CB First Floor;07/02/2019;00;71
CB First Floor;07/02/2019;01;72
CB First Floor;07/02/2019;02;72
CB First Floor;07/02/2019;03;71
CB First Floor;07/02/2019;04;71
CB First Floor;07/02/2019;05;72
CB First Floor;07/02/2019;06;81
CB First Floor;07/02/2019;07;88
CB First Floor;07/02/2019;08;107
CB First Floor;07/02/2019;09;106
CB First Floor;07/02/2019;10;107
CB First Floor;07/02/2019;11;116
CB First Floor;07/02/2019;12;122
CB First Floor;07/02/2019;13;123
CB First Floor;07/02/2019;14;123
CB First Floor;07/02/2019;15;107
CB First Floor;07/02/2019;16;106
CB First Floor;07/02/2019;17;101
CB First Floor;07/02/2019;18;89
CB First Floor;07/02/2019;19;79
CB First Floor;07/02/2019;20;74
CB First Floor;07/02/2019;21;69
CB First Floor;07/02/2019;22;70
CB First Floor;07/02/2019;23;69
CB First Floor;08/02/2019;00;71
CB First Floor;08/02/2019;01;70
CB First Floor;08/02/2019;02;71
CB First Floor;08/02/2019;03;71
CB First Floor;08/02/2019;04;71
CB First Floor;08/02/2019;05;72
CB First Floor;08/02/2019;06;79
CB First Floor;08/02/2019;07;87
CB First Floor;08/02/2019;08;101
CB First Floor;08/02/2019;09;103
CB First Floor;08/02/2019;10;104
CB First Floor;08/02/2019;11;110
CB First Floor;08/02/2019;12;111
CB First Floor;08/02/2019;13;123
CB First Floor;08/02/2019;14;121
CB First Floor;08/02/2019;15;106
CB First Floor;08/02/2019;16;103
CB First Floor;08/02/2019;17;101
CB First Floor;08/02/2019;18;90
CB First Floor;08/02/2019;19;80
CB First Floor;08/02/2019;20;75
CB First Floor;08/02/2019;21;73
CB First Floor;08/02/2019;22;73
CB First Floor;08/02/2019;23;72
CB First Floor;09/02/2019;00;71
CB First Floor;09/02/2019;01;72
CB First Floor;09/02/2019;02;72
CB First Floor;09/02/2019;03;72
CB First Floor;09/02/2019;04;72
CB First Floor;09/02/2019;05;72
CB First Floor;09/02/2019;06;72
CB First Floor;09/02/2019;07;71
CB First Floor;09/02/2019;08;76
CB First Floor;09/02/2019;09;75
CB First Floor;09/02/2019;10;74
CB First Floor;09/02/2019;11;75
CB First Floor;09/02/2019;12;72
CB First Floor;09/02/2019;13;71
CB First Floor;09/02/2019;14;69
CB First Floor;09/02/2019;15;69
CB First Floor;09/02/2019;16;69
CB First Floor;09/02/2019;17;70
CB First Floor;09/02/2019;18;68
CB First Floor;09/02/2019;19;69
CB First Floor;09/02/2019;20;68
CB First Floor;09/02/2019;21;68
CB First Floor;09/02/2019;22;68
CB First Floor;09/02/2019;23;68
CB First Floor;10/02/2019;00;67
CB First Floor;10/02/2019;01;67
CB First Floor;10/02/2019;02;67
CB First Floor;10/02/2019;03;65
CB First Floor;10/02/2019;04;62
CB First Floor;10/02/2019;05;61
CB First Floor;10/02/2019;06;60
CB First Floor;10/02/2019;07;59
CB First Floor;10/02/2019;08;58
CB First Floor;10/02/2019;09;56
CB First Floor;10/02/2019;10;55
CB First Floor;10/02/2019;11;54
CB First Floor;10/02/2019;12;54
CB First Floor;10/02/2019;13;55
CB First Floor;10/02/2019;14;54
CB First Floor;10/02/2019;15;54
CB First Floor;10/02/2019;16;53
CB First Floor;10/02/2019;17;53
CB First Floor;10/02/2019;18;52
CB First Floor;10/02/2019;19;53
CB First Floor;10/02/2019;20;54
CB First Floor;10/02/2019;21;53
CB First Floor;10/02/2019;22;54
CB First Floor;10/02/2019;23;55
CB First Floor;11/02/2019;00;55
CB First Floor;11/02/2019;01;55
CB First Floor;11/02/2019;02;58
CB First Floor;11/02/2019;03;73
CB First Floor;11/02/2019;04;73
CB First Floor;11/02/2019;05;76
CB First Floor;11/02/2019;06;82
CB First Floor;11/02/2019;07;90
CB First Floor;11/02/2019;08;108
CB First Floor;11/02/2019;09;109
CB First Floor;11/02/2019;10;108
CB First Floor;11/02/2019;11;113
CB First Floor;11/02/2019;12;122
CB First Floor;11/02/2019;13;123
CB First Floor;11/02/2019;14;116
CB First Floor;11/02/2019;15;111
CB First Floor;11/02/2019;16;109
CB First Floor;11/02/2019;17;107
CB First Floor;11/02/2019;18;98
CB First Floor;11/02/2019;19;87
CB First Floor;11/02/2019;20;84
CB First Floor;11/02/2019;21;81
CB First Floor;11/02/2019;22;78
CB First Floor;11/02/2019;23;76
CB First Floor;12/02/2019;00;76
CB First Floor;12/02/2019;01;76
CB First Floor;12/02/2019;02;75
CB First Floor;12/02/2019;03;75
CB First Floor;12/02/2019;04;75
CB First Floor;12/02/2019;05;76
CB First Floor;12/02/2019;06;85
CB First Floor;12/02/2019;07;92
CB First Floor;12/02/2019;08;110
CB First Floor;12/02/2019;09;113
CB First Floor;12/02/2019;10;113
CB First Floor;12/02/2019;11;121
CB First Floor;12/02/2019;12;124
CB First Floor;12/02/2019;13;128
CB First Floor;12/02/2019;14;119
CB First Floor;12/02/2019;15;114
CB First Floor;12/02/2019;16;112
CB First Floor;12/02/2019;17;105
CB First Floor;12/02/2019;18;93
CB First Floor;12/02/2019;19;85
CB First Floor;12/02/2019;20;80
CB First Floor;12/02/2019;21;78
CB First Floor;12/02/2019;22;73
CB First Floor;13/02/2019;23;67
CB First Floor;13/02/2019;00;74
CB First Floor;13/02/2019;01;73
CB First Floor;13/02/2019;02;74
CB First Floor;13/02/2019;03;73
CB First Floor;13/02/2019;04;74
CB First Floor;13/02/2019;05;75
CB First Floor;13/02/2019;06;86
CB First Floor;13/02/2019;07;94
CB First Floor;13/02/2019;08;110
CB First Floor;13/02/2019;09;107
CB First Floor;13/02/2019;10;108
CB First Floor;13/02/2019;11;110
CB First Floor;13/02/2019;12;120
CB First Floor;13/02/2019;13;123
CB First Floor;13/02/2019;14;118
CB First Floor;13/02/2019;15;107
CB First Floor;13/02/2019;16;102
CB First Floor;13/02/2019;17;99
CB First Floor;13/02/2019;18;90
CB First Floor;13/02/2019;19;77
CB First Floor;13/02/2019;20;73
CB First Floor;13/02/2019;21;71
CB First Floor;13/02/2019;22;70
CB First Floor;14/02/2019;00;67
CB First Floor;14/02/2019;01;68
CB First Floor;14/02/2019;02;68
CB First Floor;14/02/2019;03;67
CB First Floor;14/02/2019;04;68
CB First Floor;14/02/2019;05;68
CB First Floor;14/02/2019;06;74
CB First Floor;14/02/2019;07;86
CB First Floor;14/02/2019;08;108
CB First Floor;14/02/2019;09;110
CB First Floor;14/02/2019;10;106
CB First Floor;14/02/2019;11;111
CB First Floor;14/02/2019;12;114
CB First Floor;14/02/2019;13;116
CB First Floor;14/02/2019;14;112
CB First Floor;14/02/2019;15;108
CB First Floor;14/02/2019;16;97
CB First Floor;14/02/2019;17;94
CB First Floor;14/02/2019;18;83
CB First Floor;14/02/2019;19;72
CB First Floor;14/02/2019;20;69
CB First Floor;14/02/2019;21;68
CB First Floor;14/02/2019;22;67
CB First Floor;14/02/2019;23;67
CB First Floor;15/02/2019;00;65
CB First Floor;15/02/2019;01;65
CB First Floor;15/02/2019;02;65
CB First Floor;15/02/2019;03;66
CB First Floor;15/02/2019;04;66
CB First Floor;15/02/2019;05;65
CB First Floor;15/02/2019;06;70
CB First Floor;15/02/2019;07;79
CB First Floor;15/02/2019;08;98
CB First Floor;15/02/2019;09;100
CB First Floor;15/02/2019;10;96
CB First Floor;15/02/2019;11;107
CB First Floor;15/02/2019;12;111
CB First Floor;15/02/2019;13;114
CB First Floor;15/02/2019;14;109
CB First Floor;15/02/2019;15;98
CB First Floor;15/02/2019;16;93
CB First Floor;15/02/2019;17;90
CB First Floor;15/02/2019;18;79
CB First Floor;15/02/2019;19;70
CB First Floor;15/02/2019;20;65
CB First Floor;15/02/2019;21;64
CB First Floor;15/02/2019;22;62
CB First Floor;15/02/2019;23;62
CB First Floor;16/02/2019;00;63
CB First Floor;16/02/2019;01;61
CB First Floor;16/02/2019;02;64
CB First Floor;16/02/2019;03;64
CB First Floor;16/02/2019;04;64
CB First Floor;16/02/2019;05;65
CB First Floor;16/02/2019;06;64
CB First Floor;16/02/2019;07;65
CB First Floor;16/02/2019;08;67
CB First Floor;16/02/2019;09;67
CB First Floor;16/02/2019;10;65
CB First Floor;16/02/2019;11;66
CB First Floor;16/02/2019;12;63
CB First Floor;16/02/2019;13;62
CB First Floor;16/02/2019;14;61
CB First Floor;16/02/2019;15;62
CB First Floor;16/02/2019;16;60
CB First Floor;16/02/2019;17;58
CB First Floor;16/02/2019;18;58
CB First Floor;16/02/2019;19;58
CB First Floor;16/02/2019;20;60
CB First Floor;16/02/2019;21;59
CB First Floor;16/02/2019;22;61
CB First Floor;16/02/2019;23;61
CB First Floor;17/02/2019;00;61
CB First Floor;17/02/2019;01;61
CB First Floor;17/02/2019;02;63
CB First Floor;17/02/2019;03;63
CB First Floor;17/02/2019;04;62
CB First Floor;17/02/2019;05;64
CB First Floor;17/02/2019;06;64
CB First Floor;17/02/2019;07;64
CB First Floor;17/02/2019;08;62
CB First Floor;17/02/2019;09;61
CB First Floor;17/02/2019;10;64
CB First Floor;17/02/2019;11;62
CB First Floor;17/02/2019;12;63
CB First Floor;17/02/2019;13;63
CB First Floor;17/02/2019;14;63
CB First Floor;17/02/2019;15;61
CB First Floor;17/02/2019;16;62
CB First Floor;17/02/2019;17;61
CB First Floor;17/02/2019;18;61
CB First Floor;17/02/2019;19;60
CB First Floor;17/02/2019;20;60
CB First Floor;17/02/2019;21;61
CB First Floor;17/02/2019;22;62
CB First Floor;17/02/2019;23;62
CB First Floor;18/02/2019;00;62
CB First Floor;18/02/2019;01;64
CB First Floor;18/02/2019;02;64
CB First Floor;18/02/2019;03;64
CB First Floor;18/02/2019;04;64
CB First Floor;18/02/2019;05;64
CB First Floor;18/02/2019;06;72
CB First Floor;18/02/2019;07;80
CB First Floor;18/02/2019;08;95
CB First Floor;18/02/2019;09;97
CB First Floor;18/02/2019;10;98
CB First Floor;18/02/2019;11;101
CB First Floor;18/02/2019;12;110
CB First Floor;18/02/2019;13;111
CB First Floor;18/02/2019;14;108
CB First Floor;18/02/2019;15;91
CB First Floor;18/02/2019;16;90
CB First Floor;18/02/2019;17;90
CB First Floor;18/02/2019;18;82
CB First Floor;18/02/2019;19;69
CB First Floor;18/02/2019;20;65
CB First Floor;18/02/2019;21;62
CB First Floor;18/02/2019;22;61
CB First Floor;18/02/2019;23;61
CB First Floor;19/02/2019;00;61
CB First Floor;19/02/2019;01;62
CB First Floor;19/02/2019;02;62
CB First Floor;19/02/2019;03;62
CB First Floor;19/02/2019;04;63
CB First Floor;19/02/2019;05;63
CB First Floor;19/02/2019;06;72
CB First Floor;19/02/2019;07;82
CB First Floor;19/02/2019;08;106
CB First Floor;19/02/2019;09;108
CB First Floor;19/02/2019;10;105
CB First Floor;19/02/2019;11;109
CB First Floor;19/02/2019;12;111
CB First Floor;19/02/2019;13;121
CB First Floor;19/02/2019;14;106
CB First Floor;19/02/2019;15;94
CB First Floor;19/02/2019;16;94
CB First Floor;19/02/2019;17;94
CB First Floor;19/02/2019;18;85
CB First Floor;19/02/2019;19;72
CB First Floor;19/02/2019;20;67
CB First Floor;19/02/2019;21;64
CB First Floor;19/02/2019;22;64
CB First Floor;19/02/2019;23;63
CB First Floor;20/02/2019;00;63
CB First Floor;20/02/2019;01;63
CB First Floor;20/02/2019;02;64
CB First Floor;20/02/2019;03;64
CB First Floor;20/02/2019;04;64
CB First Floor;20/02/2019;05;66
CB First Floor;20/02/2019;06;74
CB First Floor;20/02/2019;07;82
CB First Floor;20/02/2019;08;95
CB First Floor;20/02/2019;09;95
CB First Floor;20/02/2019;10;95
CB First Floor;20/02/2019;11;100
CB First Floor;20/02/2019;12;103
CB First Floor;20/02/2019;13;104
CB First Floor;20/02/2019;14;101
CB First Floor;20/02/2019;15;89
CB First Floor;20/02/2019;16;86
CB First Floor;20/02/2019;17;88
CB First Floor;20/02/2019;18;79
CB First Floor;20/02/2019;19;66
CB First Floor;20/02/2019;20;63
CB First Floor;20/02/2019;21;62
CB First Floor;20/02/2019;22;59
CB First Floor;20/02/2019;23;58
CB First Floor;21/02/2019;00;58
CB First Floor;21/02/2019;01;58
CB First Floor;21/02/2019;02;60
CB First Floor;21/02/2019;03;59
CB First Floor;21/02/2019;04;60
CB First Floor;21/02/2019;05;62
CB First Floor;21/02/2019;06;71
CB First Floor;21/02/2019;07;80
CB First Floor;21/02/2019;08;98
CB First Floor;21/02/2019;09;99
CB First Floor;21/02/2019;10;102
CB First Floor;21/02/2019;11;110
CB First Floor;21/02/2019;12;118
CB First Floor;21/02/2019;13;116
CB First Floor;21/02/2019;14;107
CB First Floor;21/02/2019;15;95
CB First Floor;21/02/2019;16;90
CB First Floor;21/02/2019;17;90
CB First Floor;21/02/2019;18;82
CB First Floor;21/02/2019;19;73
CB First Floor;21/02/2019;20;67
CB First Floor;21/02/2019;21;65
CB First Floor;21/02/2019;22;63
CB First Floor;21/02/2019;23;62
CB First Floor;22/02/2019;00;62
CB First Floor;22/02/2019;01;62
CB First Floor;22/02/2019;02;63
CB First Floor;22/02/2019;03;63
CB First Floor;22/02/2019;04;63
CB First Floor;22/02/2019;05;64
CB First Floor;22/02/2019;06;74
CB First Floor;22/02/2019;07;82
CB First Floor;22/02/2019;08;94
CB First Floor;22/02/2019;09;95
CB First Floor;22/02/2019;10;98
CB First Floor;22/02/2019;11;102
CB First Floor;22/02/2019;12;102
CB First Floor;22/02/2019;13;110
CB First Floor;22/02/2019;14;107
CB First Floor;22/02/2019;15;95
CB First Floor;22/02/2019;16;92
CB First Floor;22/02/2019;17;90
CB First Floor;22/02/2019;18;82
CB First Floor;22/02/2019;19;72
CB First Floor;22/02/2019;20;67
CB First Floor;22/02/2019;21;66
CB First Floor;22/02/2019;22;65
CB First Floor;22/02/2019;23;64
CB First Floor;23/02/2019;00;63
CB First Floor;23/02/2019;01;64
CB First Floor;23/02/2019;02;65
CB First Floor;23/02/2019;03;64
CB First Floor;23/02/2019;04;65
CB First Floor;23/02/2019;05;63
CB First Floor;23/02/2019;06;63
CB First Floor;23/02/2019;07;65
CB First Floor;23/02/2019;08;66
CB First Floor;23/02/2019;09;68
CB First Floor;23/02/2019;10;68
CB First Floor;23/02/2019;11;68
CB First Floor;23/02/2019;12;67
CB First Floor;23/02/2019;13;66
CB First Floor;23/02/2019;14;68
CB First Floor;23/02/2019;15;69
CB First Floor;23/02/2019;16;68
CB First Floor;23/02/2019;17;69
CB First Floor;23/02/2019;18;69
CB First Floor;23/02/2019;19;70
CB First Floor;23/02/2019;20;69
CB First Floor;23/02/2019;21;69
CB First Floor;23/02/2019;22;69
CB First Floor;23/02/2019;23;70
CB First Floor;24/02/2019;00;70
CB First Floor;24/02/2019;01;69
CB First Floor;24/02/2019;02;71
CB First Floor;24/02/2019;03;71
CB First Floor;24/02/2019;04;72
CB First Floor;24/02/2019;05;70
CB First Floor;24/02/2019;06;71
CB First Floor;24/02/2019;07;70
CB First Floor;24/02/2019;08;71
CB First Floor;24/02/2019;09;68
CB First Floor;24/02/2019;10;70
CB First Floor;24/02/2019;11;67
CB First Floor;24/02/2019;12;70
CB First Floor;24/02/2019;13;68
CB First Floor;24/02/2019;14;68
CB First Floor;24/02/2019;15;69
CB First Floor;24/02/2019;16;67
CB First Floor;24/02/2019;17;69
CB First Floor;24/02/2019;18;68
CB First Floor;24/02/2019;19;67
CB First Floor;24/02/2019;20;69
CB First Floor;24/02/2019;21;68
CB First Floor;24/02/2019;22;68
CB First Floor;24/02/2019;23;69
CB First Floor;25/02/2019;00;69
CB First Floor;25/02/2019;01;69
CB First Floor;25/02/2019;02;69
CB First Floor;25/02/2019;03;70
CB First Floor;25/02/2019;04;69
CB First Floor;25/02/2019;05;70
CB First Floor;25/02/2019;06;76
CB First Floor;25/02/2019;07;86
CB First Floor;25/02/2019;08;95
CB First Floor;25/02/2019;09;97
CB First Floor;25/02/2019;10;96
CB First Floor;25/02/2019;11;98
CB First Floor;25/02/2019;12;108
CB First Floor;25/02/2019;13;114
CB First Floor;25/02/2019;14;99
CB First Floor;25/02/2019;15;95
CB First Floor;25/02/2019;16;92
CB First Floor;25/02/2019;17;92
CB First Floor;25/02/2019;18;84
CB First Floor;25/02/2019;19;76
CB First Floor;25/02/2019;20;73
CB First Floor;25/02/2019;21;65
CB First Floor;25/02/2019;22;69
CB First Floor;25/02/2019;23;69
CB First Floor;26/02/2019;00;68
CB First Floor;26/02/2019;01;68
CB First Floor;26/02/2019;02;68
CB First Floor;26/02/2019;03;68
CB First Floor;26/02/2019;04;68
CB First Floor;26/02/2019;05;68
CB First Floor;26/02/2019;06;76
CB First Floor;26/02/2019;07;82
CB First Floor;26/02/2019;08;101
CB First Floor;26/02/2019;09;103
CB First Floor;26/02/2019;10;98
CB First Floor;26/02/2019;11;102
CB First Floor;26/02/2019;12;107
CB First Floor;26/02/2019;13;116
CB First Floor;26/02/2019;14;110
CB First Floor;26/02/2019;15;102
CB First Floor;26/02/2019;16;96
CB First Floor;26/02/2019;17;92
CB First Floor;26/02/2019;18;79
CB First Floor;26/02/2019;19;70
CB First Floor;26/02/2019;20;64
CB First Floor;26/02/2019;21;62
CB First Floor;26/02/2019;22;59
CB First Floor;26/02/2019;23;60
CB First Floor;27/02/2019;00;59
CB First Floor;27/02/2019;01;59
CB First Floor;27/02/2019;02;61
CB First Floor;27/02/2019;03;61
CB First Floor;27/02/2019;04;63
CB First Floor;27/02/2019;05;65
CB First Floor;27/02/2019;06;75
CB First Floor;27/02/2019;07;82
CB First Floor;27/02/2019;08;94
CB First Floor;27/02/2019;09;94
CB First Floor;27/02/2019;10;98
CB First Floor;27/02/2019;11;98
CB First Floor;27/02/2019;12;111
CB First Floor;27/02/2019;13;114
CB First Floor;27/02/2019;14;106
CB First Floor;27/02/2019;15;103
CB First Floor;27/02/2019;16;94
CB First Floor;27/02/2019;17;93
CB First Floor;27/02/2019;18;87
CB First Floor;27/02/2019;19;77
CB First Floor;27/02/2019;20;71
CB First Floor;27/02/2019;21;66
CB First Floor;27/02/2019;22;64
CB First Floor;27/02/2019;23;62
CB First Floor;28/02/2019;00;65
CB First Floor;28/02/2019;01;65
CB First Floor;28/02/2019;02;65
CB First Floor;28/02/2019;03;65
CB First Floor;28/02/2019;04;65
CB First Floor;28/02/2019;05;66
CB First Floor;28/02/2019;06;71
CB First Floor;28/02/2019;07;79
CB First Floor;28/02/2019;08;98
CB First Floor;28/02/2019;09;99
CB First Floor;28/02/2019;10;95
CB First Floor;28/02/2019;11;104
CB First Floor;28/02/2019;12;109
CB First Floor;28/02/2019;13;109
CB First Floor;28/02/2019;14;98
CB First Floor;28/02/2019;15;95
CB First Floor;28/02/2019;16;89
CB First Floor;28/02/2019;17;87
CB First Floor;28/02/2019;18;81
CB First Floor;28/02/2019;19;68
CB First Floor;28/02/2019;20;62
CB First Floor;28/02/2019;21;62
CB First Floor;28/02/2019;22;59
CB First Floor;28/02/2019;23;58
CB Second Floor;01/02/2019;00;76
CB Second Floor;01/02/2019;01;76
CB Second Floor;01/02/2019;02;76
CB Second Floor;01/02/2019;03;76
CB Second Floor;01/02/2019;04;74
CB Second Floor;01/02/2019;05;76
CB Second Floor;01/02/2019;06;80
CB Second Floor;01/02/2019;07;90
